"filename", "language", "JavaScript", "Markdown", "YAML", "XML", "HTML", "Handlebars", "PostCSS", "SCSS", "JSON with Comments", "JSON", "Properties", "comment", "blank", "total"
"d:\codes\database\src\icons\svg\form.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\guide.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\international.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\language.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\link.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\list.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\lock.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\message.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\money.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\nested.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\password.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\people.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\qq.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\search.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\shopping.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\size.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\skill.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\star.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\tab.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\table.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\theme.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\tree-table.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\tree.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\user.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\wechat.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\zip.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svgo.yml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 23
"d:\codes\database\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"d:\codes\database\src\layout\components\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\codes\database\src\layout\mixin\ResizeHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 46
"d:\codes\database\src\main.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 57
"d:\codes\database\src\permission.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 75
"d:\codes\database\src\router\index.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 16, 177
"d:\codes\database\src\router\modules\charts.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"d:\codes\database\src\router\modules\finance.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\codes\database\src\router\modules\health.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\codes\database\src\router\modules\table.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 42
"d:\codes\database\src\router\modules\task.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\codes\database\src\settings.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 36
